Year,Units,Sex,Category,Age,Value
2015,%,,,,29.1
2016,%,,,,27.8
2017,%,,,,25.8
2018,%,,,,23.6
2020,$,,,,19.1
2015,%,male,,,27.9
2016,%,male,,,26.5
2017,%,male,,,24.9
2018,%,male,,,21.9
2020,%,male,,,18.5
2015,%,female,,,30.1
2016,%,female,,,28.9
2017,%,female,,,26.6
2018,%,female,,,25.0
2020,%,female,,,19.7
2015,%,,children,,31.4
2016,%,,children,,31.3
2017,%,,children,,29.5
2018,%,,children,,25.5
2020,%,,children,,20.0
2015,%,,,aged 0-5 years,26.3
2016,%,,,aged 0-5 years,27.7
2017,%,,,aged 0-5 years,25.7
2018,%,,,aged 0-5 years,22.5
2020,%,,,aged 0-5 years,16.5
2015,%,,,aged 6-17 years,34.2
2016,%,,,aged 6-17 years,33.2
2017,%,,,aged 6-17 years,31.3
2018,%,,,aged 6-17 years,27.0
2020,%,,,aged 6-17 years,21.6
2015,%,,,aged 18-64 years,27.0
2016,%,,,aged 18-64 years,25.4
2017,%,,,aged 18-64 years,23.6
2018,%,,,aged 18-64 years,20.0
2020,%,,,aged 18-64 years,15.7
2015,%,,,aged 65 and older,34.6
2016,%,,,aged 65 and older,33.1
2017,%,,,aged 65 and older,29.2
2018,%,,,aged 65 and older,35.0
2020,%,,,aged 65 and older,32.1
