Year,Units,Местность,Регионы,GeoCode,Value
2010,кв_м,,,,18.4
2011,кв_м,,,,18.7
2012,кв_м,,,,19.6
2013,кв_м,,,,20.9
2014,кв_м,,,,21.0
2015,кв_м,,,,21.0
2016,кв_м,,,,21.4
2017,кв_м,,,,21.6
2018,кв_м,,,,21.7965425154738
2010,кв_м,городская местность,,,20.2
2011,кв_м,городская местность,,,20.6
2012,кв_м,городская местность,,,22.1
2013,кв_м,городская местность,,,23.7
2014,кв_м,городская местность,,,23.8
2015,кв_м,городская местность,,,23.5
2016,кв_м,городская местность,,,24.0
2017,кв_м,городская местность,,,24.1
2018,кв_м,городская местность,,,24.358574377877805
2010,кв_м,сельская местность,,,16.5
2011,кв_м,сельская местность,,,16.6
2012,кв_м,сельская местность,,,16.8
2013,кв_м,сельская местность,,,17.4
2014,кв_м,сельская местность,,,17.6
2015,кв_м,сельская местность,,,17.8
2016,кв_м,сельская местность,,,18.0
2017,кв_м,сельская местность,,,18.2
2018,кв_м,сельская местность,,,18.3956763880357
2018,кв_м,,Акмолинская,KZ03,22.207667263221694
2018,кв_м,,Актюбинская,KZ04,22.3780781571093
2018,кв_м,,Алматинская,KZ01,19.039171698710803
2018,кв_м,,Атырауская,KZ06,21.8135412907477
2018,кв_м,,Западно-Казахстанская,KZ07,20.8321227403146
2018,кв_м,,Жамбылская,KZ17,16.763726419913098
2018,кв_м,,Карагандинская,KZ12,23.1333231863374
2018,кв_м,,Костанайская,KZ13,21.7095897194701
2018,кв_м,,Кызылординская,KZ14,20.1585375059447
2018,кв_м,,Мангистауская,KZ09,23.9038004887122
2018,кв_м,,Павлодарская,KZ11,22.0575068898798
2018,кв_м,,Северо-Казахстанская,KZ16,21.1571898067104
2018,кв_м,,Туркестанская,KZ10,18.049936810819894
2018,кв_м,,Восточно-Казахстанская,KZ15,20.2921451064886
2018,кв_м,,г_Нур-Султан,KZ05,30.2864026267865
2018,кв_м,,г_Алматы,KZ02,27.3160343162018
2018,кв_м,,г_Шымкент,KZ18,24.717247631135802
2018,кв_м,городская местность,Акмолинская,,24.0435209581599
2018,кв_м,городская местность,Актюбинская,,25.072523405461503
2018,кв_м,городская местность,Алматинская,,21.937964282930693
2018,кв_м,городская местность,Атырауская,,23.967173320204505
2018,кв_м,городская местность,Западно-Казахстанская,,25.061546091877695
2018,кв_м,городская местность,Жамбылская,,19.570806365429302
2018,кв_м,городская местность,Карагандинская,,23.8469658738725
2018,кв_м,городская местность,Костанайская,,22.3837077613194
2018,кв_м,городская местность,Кызылординская,,21.989450423290602
2018,кв_м,городская местность,Мангистауская,,23.888227624562607
2018,кв_м,городская местность,Павлодарская,,22.485075095191107
2018,кв_м,городская местность,Северо-Казахстанская,,21.7237921434868
2018,кв_м,городская местность,Туркестанская,,21.507887479443802
2018,кв_м,городская местность,Восточно-Казахстанская,,22.3265507921659
2018,кв_м,городская местность,г_Нур-Султан,,30.2864026267865
2018,кв_м,городская местность,г_Алматы,,27.3160343162018
2018,кв_м,городская местность,г_Шымкент,,24.717247631135802
2018,кв_м,сельская местность,Акмолинская,,20.7835127356027
2018,кв_м,сельская местность,Актюбинская,,16.6713462284547
2018,кв_м,сельская местность,Алматинская,,18.1485939710355
2018,кв_м,сельская местность,Атырауская,,19.4335276779891
2018,кв_м,сельская местность,Западно-Казахстанская,,16.7870245613227
2018,кв_м,сельская местность,Жамбылская,,14.8574921985299
2018,кв_м,сельская местность,Карагандинская,,20.5368324358097
2018,кв_м,сельская местность,Костанайская,,20.848920041528
2018,кв_м,сельская местность,Кызылординская,,18.6622321113095
2018,кв_м,сельская местность,Мангистауская,,23.9173718684343
2018,кв_м,сельская местность,Павлодарская,,21.020142016698895
2018,кв_м,сельская местность,Северо-Казахстанская,,20.698340978271002
2018,кв_м,сельская местность,Туркестанская,,17.085604494204198
2018,кв_м,сельская местность,Восточно-Казахстанская,,17.4184481835716
2010,процент,,,,48.0
2011,процент,,,,54.0
2012,процент,,,,65.0
2013,процент,,,,79.0
2014,процент,,,,91.0
2015,процент,,,,98.0
2016,процент,,,,100.0
2017,процент,,,,100.0
2018,процент,,,,100.0
