Year,Units,Sex,Age,Value
2015,%,,,59.1
2016,%,,,64.3
2017,%,,,64.7
2018,%,,,68.2
2015,%,male,,60.8
2016,%,male,,65.5
2017,%,male,,66.3
2018,%,male,,69.9
2015,%,female,,57.8
2016,%,female,,63.4
2017,%,female,,63.4
2018,%,female,,66.9
2015,%,,aged 0-5 years,24.6
2016,%,,aged 0-5 years,25.0
2017,%,,aged 0-5 years,21.7
2018,%,,aged 0-5 years,26.4
2015,%,,aged 5-14 years,62.2
2016,%,,aged 5-14 years,68.4
2017,%,,aged 5-14 years,69.5
2018,%,,aged 5-14 years,70.7
2015,%,,aged 15-24 years,78.3
2016,%,,aged 15-24 years,81.9
2017,%,,aged 15-24 years,94.2
2018,%,,aged 15-24 years,95.0
2015,%,,aged 25 and older,58.6
2016,%,,aged 25 and older,64.2
2017,%,,aged 25 and older,88.2
2018,%,,aged 25 and older,92.0
