Year,Units,Охраняемые рыбные ресурсы,Value
2015,количество,,70.0
2016,количество,,70.0
2017,количество,,70.0
2018,количество,,70.0
2015,количество,,52.0
2016,количество,,52.0
2017,количество,,52.0
2018,количество,,52.0
2015,количество,редких и находящихся под угрозой исчезновения видов,18.0
2016,количество,редких и находящихся под угрозой исчезновения видов,18.0
2017,количество,редких и находящихся под угрозой исчезновения видов,18.0
2018,количество,редких и находящихся под угрозой исчезновения видов,18.0
