Year,Units,Регионы,Value
2010,тнэ на тыс.долл. США в ценах  2010 года,,1.85
2011,тнэ на тыс.долл. США в ценах  2010 года,,1.78
2012,тнэ на тыс.долл. США в ценах  2010 года,,1.62
2013,тнэ на тыс.долл. США в ценах  2010 года,,1.69
2014,тнэ на тыс.долл. США в ценах  2010 года,,1.52
2015,тнэ на тыс.долл. США в ценах  2010 года,,1.53
2016,тнэ на тыс.долл. США в ценах  2010 года,,1.54
2017,тнэ на тыс.долл. США в ценах  2010 года,,1.53
2011,тнэ на тыс.долл. США в ценах  2010 года,Акмолинская,0.8344817026489053
2012,тнэ на тыс.долл. США в ценах  2010 года,Акмолинская,0.51
2013,тнэ на тыс.долл. США в ценах  2010 года,Акмолинская,0.67
2014,тнэ на тыс.долл. США в ценах  2010 года,Акмолинская,0.62
2015,тнэ на тыс.долл. США в ценах  2010 года,Акмолинская,0.39
2016,тнэ на тыс.долл. США в ценах  2010 года,Акмолинская,0.45
2017,тнэ на тыс.долл. США в ценах  2010 года,Акмолинская,0.43
2011,тнэ на тыс.долл. США в ценах  2010 года,Актюбинская,2.626552053486151
2012,тнэ на тыс.долл. США в ценах  2010 года,Актюбинская,2.31
2013,тнэ на тыс.долл. США в ценах  2010 года,Актюбинская,3.55
2014,тнэ на тыс.долл. США в ценах  2010 года,Актюбинская,3.36
2015,тнэ на тыс.долл. США в ценах  2010 года,Актюбинская,3.43
2016,тнэ на тыс.долл. США в ценах  2010 года,Актюбинская,3.41
2017,тнэ на тыс.долл. США в ценах  2010 года,Актюбинская,3.69
2011,тнэ на тыс.долл. США в ценах  2010 года,Алматинская,0.16979530232996887
2012,тнэ на тыс.долл. США в ценах  2010 года,Алматинская,0.2
2013,тнэ на тыс.долл. США в ценах  2010 года,Алматинская,0.21
2014,тнэ на тыс.долл. США в ценах  2010 года,Алматинская,0.2
2015,тнэ на тыс.долл. США в ценах  2010 года,Алматинская,0.13
2016,тнэ на тыс.долл. США в ценах  2010 года,Алматинская,0.14
2017,тнэ на тыс.долл. США в ценах  2010 года,Алматинская,0.15
2011,тнэ на тыс.долл. США в ценах  2010 года,Атырауская,1.9189486849228123
2012,тнэ на тыс.долл. США в ценах  2010 года,Атырауская,1.92
2013,тнэ на тыс.долл. США в ценах  2010 года,Атырауская,1.53
2014,тнэ на тыс.долл. США в ценах  2010 года,Атырауская,1.43
2015,тнэ на тыс.долл. США в ценах  2010 года,Атырауская,1.42
2016,тнэ на тыс.долл. США в ценах  2010 года,Атырауская,1.46
2017,тнэ на тыс.долл. США в ценах  2010 года,Атырауская,1.4
2011,тнэ на тыс.долл. США в ценах  2010 года,Западно-Казахстанская,3.280416718343049
2012,тнэ на тыс.долл. США в ценах  2010 года,Западно-Казахстанская,4.08
2013,тнэ на тыс.долл. США в ценах  2010 года,Западно-Казахстанская,5.15
2014,тнэ на тыс.долл. США в ценах  2010 года,Западно-Казахстанская,4.72
2015,тнэ на тыс.долл. США в ценах  2010 года,Западно-Казахстанская,5.46
2016,тнэ на тыс.долл. США в ценах  2010 года,Западно-Казахстанская,5.68
2017,тнэ на тыс.долл. США в ценах  2010 года,Западно-Казахстанская,5.54
2011,тнэ на тыс.долл. США в ценах  2010 года,Жамбылская,1.0039740640033465
2012,тнэ на тыс.долл. США в ценах  2010 года,Жамбылская,0.31
2013,тнэ на тыс.долл. США в ценах  2010 года,Жамбылская,1.0
2014,тнэ на тыс.долл. США в ценах  2010 года,Жамбылская,0.24
2015,тнэ на тыс.долл. США в ценах  2010 года,Жамбылская,0.37
2016,тнэ на тыс.долл. США в ценах  2010 года,Жамбылская,0.24
2017,тнэ на тыс.долл. США в ценах  2010 года,Жамбылская,0.22
2011,тнэ на тыс.долл. США в ценах  2010 года,Карагандинская,4.535781955983093
2012,тнэ на тыс.долл. США в ценах  2010 года,Карагандинская,3.77
2013,тнэ на тыс.долл. США в ценах  2010 года,Карагандинская,3.54
2014,тнэ на тыс.долл. США в ценах  2010 года,Карагандинская,3.06
2015,тнэ на тыс.долл. США в ценах  2010 года,Карагандинская,2.7
2016,тнэ на тыс.долл. США в ценах  2010 года,Карагандинская,2.69
2017,тнэ на тыс.долл. США в ценах  2010 года,Карагандинская,2.84
2011,тнэ на тыс.долл. США в ценах  2010 года,Костанайская,0.040605014719317836
