Year,Units,Регионы,Value
2010,на 100 тыс.родившихся живыми,,22.7
2011,на 100 тыс.родившихся живыми,,17.4
2012,на 100 тыс.родившихся живыми,,13.5
2013,на 100 тыс.родившихся живыми,,13.1
2014,на 100 тыс.родившихся живыми,,15.2093150821552
2015,на 100 тыс.родившихся живыми,,16.549690445562803
2016,на 100 тыс.родившихся живыми,,15.416634548678024
2017,на 100 тыс.родившихся живыми,,14.812204234758115
2018,на 100 тыс.родившихся живыми,,14.0
2011,на 100 тыс.родившихся живыми,Акмолинская,23.3
2012,на 100 тыс.родившихся живыми,Акмолинская,8.2
2013,на 100 тыс.родившихся живыми,Акмолинская,25.4
2014,на 100 тыс.родившихся живыми,Акмолинская,16.93910392140256
2015,на 100 тыс.родившихся живыми,Акмолинская,25.89331952356292
2016,на 100 тыс.родившихся живыми,Акмолинская,0.0
2017,на 100 тыс.родившихся живыми,Акмолинская,17.809439002671414
2018,на 100 тыс.родившихся живыми,Акмолинская,35.9
2010,на 100 тыс.родившихся живыми,Актюбинская,34.5
2011,на 100 тыс.родившихся живыми,Актюбинская,16.9
2013,на 100 тыс.родившихся живыми,Актюбинская,21.3
2014,на 100 тыс.родившихся живыми,Актюбинская,10.105603557172453
2015,на 100 тыс.родившихся живыми,Актюбинская,15.021781583295779
2016,на 100 тыс.родившихся живыми,Актюбинская,20.193861066235865
2017,на 100 тыс.родившихся живыми,Актюбинская,5.2521008403361344
2018,на 100 тыс.родившихся живыми,Актюбинская,5.1
2010,на 100 тыс.родившихся живыми,Алматинская,16.1
2011,на 100 тыс.родившихся живыми,Алматинская,18.9
2012,на 100 тыс.родившихся живыми,Алматинская,7.9
2013,на 100 тыс.родившихся живыми,Алматинская,5.1
2014,на 100 тыс.родившихся живыми,Алматинская,14.492753623188406
2015,на 100 тыс.родившихся живыми,Алматинская,17.17749257686928
2016,на 100 тыс.родившихся живыми,Алматинская,14.472129091391496
2017,на 100 тыс.родившихся живыми,Алматинская,25.085919273511777
2018,на 100 тыс.родившихся живыми,Алматинская,14.8
2010,на 100 тыс.родившихся живыми,Атырауская,20.4
