Year,Units,Disaster type,Value
2015,"per 100,000 population",,445.4
2016,"per 100,000 population",,506.6
2017,"per 100,000 population",,444.1
2018,"per 100,000 population",,426.3
2015,"per 100,000 population",natural disaster,43.5
2016,"per 100,000 population",natural disaster,177.1
2017,"per 100,000 population",natural disaster,67.0
2018,"per 100,000 population",natural disaster,3.6
2015,"per 100,000 population",technical disaster,172.9
2016,"per 100,000 population",technical disaster,168.6
2017,"per 100,000 population",technical disaster,190.8
2018,"per 100,000 population",technical disaster,229.5
2015,"per 100,000 population",social-domestic disaster,229.0
2016,"per 100,000 population",social-domestic disaster,160.9
2017,"per 100,000 population",social-domestic disaster,186.3
2018,"per 100,000 population",social-domestic disaster,193.1
