Year,Units,Регионы,Value
2010,человек,,665.9775300284183
2011,человек,,693.8370803132727
2012,человек,,803.5926917728938
2013,человек,,1009.3598386902684
2014,человек,,1094.9611254094896
2015,человек,,1051.9411774832374
2016,человек,,979.0348518086518
2017,человек,,953.8315588351911
2018,человек,,948.8107521013109
2010,человек,Акмолинская,403.1555090655509
2011,человек,Акмолинская,678.6465303001339
2012,человек,Акмолинская,775.8672502062606
2013,человек,Акмолинская,930.2769037987442
2014,человек,Акмолинская,811.0465353233182
2015,человек,Акмолинская,704.9386217234535
2016,человек,Акмолинская,570.7376581362576
2017,человек,Акмолинская,579.6464021198498
2018,человек,Акмолинская,610.62542395141
2010,человек,Актюбинская,150.54260225865815
2011,человек,Актюбинская,145.7901184992314
2012,человек,Актюбинская,133.98556495139863
2013,человек,Актюбинская,199.3948366707044
2014,человек,Актюбинская,281.9418684900542
2015,человек,Актюбинская,304.0973497674621
2016,человек,Актюбинская,307.0536653638705
2017,человек,Актюбинская,335.8009616118446
2018,человек,Актюбинская,333.48551005458813
2010,человек,Алматинская,216.23044017723345
2011,человек,Алматинская,257.0320205837166
2012,человек,Алматинская,129.6809640794104
2013,человек,Алматинская,325.074706135518
2014,человек,Алматинская,304.92044509282886
2015,человек,Алматинская,401.091630830301
2016,человек,Алматинская,348.5104105401759
2017,человек,Алматинская,343.9361998349306
2018,человек,Алматинская,346.18432304783425
2010,человек,Атырауская,740.7266718580844
2011,человек,Атырауская,785.1221218390461
2012,человек,Атырауская,753.9898630251749
2013,человек,Атырауская,530.7071048858891
2014,человек,Атырауская,489.0273402829745
2015,человек,Атырауская,540.8623182243389
2016,человек,Атырауская,490.8322518385412
2017,человек,Атырауская,553.650347008497
2018,человек,Атырауская,657.9352194142957
2010,человек,Западно-Казахстанская,488.3714791056202
2011,человек,Западно-Казахстанская,468.5006994748206
2012,человек,Западно-Казахстанская,469.7980031146469
2013,человек,Западно-Казахстанская,631.3314328968771
2014,человек,Западно-Казахстанская,397.0848549603712
2015,человек,Западно-Казахстанская,569.8338484462952
2016,человек,Западно-Казахстанская,930.7840799942433
2017,человек,Западно-Казахстанская,437.73866070597
2018,человек,Западно-Казахстанская,619.333633802126
2010,человек,Жамбылская,182.6266323456757
